EmployeeNumber,Department,EnvironmentSatisfaction,JobRole,PerformanceRating,YearsAtCompany,YearsInCurrentRole,MonthlyIncome
1924,Sales,Medium,Sales Executive,Excellent,10,4,5487
1927,Sales,High,Sales Executive,Excellent,7,7,6834
1928,Sales,High,Sales Representative,Excellent,1,0,1091
1929,Sales,Low,Sales Executive,Excellent,3,2,5736
1931,Research & Development,Medium,Research Scientist,Excellent,5,3,2226
1932,Research & Development,High,Research Scientist,Excellent,15,10,5747
1933,Sales,Very High,Sales Executive,Excellent,2,0,9854
1934,Research & Development,High,Research Scientist,Excellent,8,7,5467
1935,Sales,Very High,Sales Executive,Excellent,0,0,5380
1936,Research & Development,Low,Manufacturing Director,Outstanding,10,0,5151
1937,Research & Development,Very High,Research Scientist,Excellent,20,11,2133
1938,Sales,Very High,Manager,Excellent,1,0,17875
1939,Research & Development,Low,Research Scientist,Excellent,4,1,2432
1940,Research & Development,Medium,Research Scientist,Excellent,5,2,4771
1941,Research & Development,Medium,Research Director,Excellent,5,4,19161
1943,Sales,Medium,Sales Executive,Excellent,0,0,5087
1944,Human Resources,Low,Human Resources,Excellent,1,0,2863
1945,Sales,Medium,Sales Executive,Excellent,5,3,5561
1947,Research & Development,High,Research Scientist,Excellent,5,3,2144
1948,Research & Development,High,Research Scientist,Excellent,4,2,3065
1949,Research & Development,Low,Laboratory Technician,Outstanding,5,4,2810
1950,Sales,Low,Sales Executive,Outstanding,14,8,9888
1951,Sales,Very High,Sales Executive,Excellent,8,7,8628
1952,Research & Development,High,Laboratory Technician,Excellent,7,7,2867
1954,Research & Development,Low,Healthcare Representative,Excellent,5,3,5373
1955,Research & Development,High,Healthcare Representative,Excellent,5,1,6667
1956,Research & Development,Very High,Research Scientist,Outstanding,10,8,5003
1960,Research & Development,High,Laboratory Technician,Excellent,4,1,2367
1961,Sales,Low,Sales Representative,Excellent,1,0,2858
1962,Sales,High,Sales Executive,Excellent,10,8,5204
1965,Sales,Very High,Sales Executive,Excellent,7,7,4105
1966,Research & Development,Very High,Manufacturing Director,Outstanding,1,0,9679
1967,Sales,Low,Sales Executive,Excellent,10,7,5617
1968,Sales,Low,Sales Executive,Excellent,2,2,10448
1969,Research & Development,Low,Research Scientist,Excellent,4,3,2897
1970,Research & Development,Very High,Healthcare Representative,Outstanding,9,7,5968
1971,Research & Development,Low,Healthcare Representative,Excellent,10,9,7510
1972,Human Resources,Very High,Human Resources,Excellent,6,2,2991
1973,Human Resources,High,Manager,Excellent,10,9,19636
1974,Research & Development,Very High,Laboratory Technician,Excellent,1,0,1129
1975,Sales,Medium,Sales Executive,Excellent,20,8,13341
1976,Research & Development,Very High,Research Scientist,Excellent,20,9,4332
1979,Research & Development,High,Research Director,Outstanding,11,7,11031
1980,Research & Development,High,Manufacturing Director,Excellent,5,2,4440
1981,Research & Development,Medium,Healthcare Representative,Excellent,4,3,4617
1982,Research & Development,Very High,Laboratory Technician,Excellent,5,2,2647
1985,Research & Development,Very High,Laboratory Technician,Excellent,10,9,6323
1986,Sales,Medium,Sales Executive,Excellent,11,8,5677
1987,Human Resources,High,Human Resources,Excellent,2,0,2187
1989,Research & Development,Very High,Laboratory Technician,Excellent,12,8,3748
1992,Research & Development,Very High,Laboratory Technician,Excellent,2,2,3977
1993,Research & Development,Low,Healthcare Representative,Outstanding,17,14,8633
1994,Research & Development,Medium,Laboratory Technician,Excellent,1,1,2008
1995,Sales,Very High,Sales Executive,Excellent,15,13,4440
1996,Sales,Low,Sales Representative,Excellent,2,2,3067
1997,Research & Development,Low,Manufacturing Director,Excellent,8,3,5321
1998,Research & Development,Very High,Research Scientist,Excellent,4,3,5410
1999,Research & Development,Very High,Research Scientist,Outstanding,5,3,2782
2000,Research & Development,High,Research Director,Excellent,13,8,11957
2003,Research & Development,Very High,Laboratory Technician,Excellent,2,2,2660
2007,Research & Development,Very High,Research Scientist,Excellent,3,2,3375
2008,Research & Development,Medium,Research Scientist,Excellent,10,7,5098
2009,Research & Development,Medium,Healthcare Representative,Excellent,9,7,4878
2010,Research & Development,High,Laboratory Technician,Excellent,6,2,2837
2012,Research & Development,Low,Laboratory Technician,Excellent,1,0,2406
2013,Sales,Medium,Sales Representative,Excellent,2,2,2269
2014,Research & Development,Low,Research Scientist,Excellent,7,7,4108
2015,Research & Development,Medium,Research Director,Excellent,18,16,13206
2016,Sales,High,Sales Executive,Excellent,14,10,10422
2017,Research & Development,High,Research Director,Outstanding,16,11,13744
2018,Sales,Low,Sales Executive,Outstanding,5,3,4907
2019,Sales,Low,Sales Representative,Excellent,9,8,3482
2020,Research & Development,Medium,Research Scientist,Excellent,4,3,2436
2021,Sales,High,Sales Representative,Excellent,2,2,2380
2022,Research & Development,Very High,Manager,Excellent,6,0,19431
2023,Sales,Very High,Sales Representative,Excellent,1,0,1790
2024,Sales,Low,Sales Executive,Excellent,9,7,7644
2025,Research & Development,Very High,Manufacturing Director,Excellent,4,2,5131
2026,Research & Development,High,Healthcare Representative,Outstanding,13,12,6306
2027,Research & Development,Low,Research Scientist,Excellent,2,2,4787
2031,Research & Development,Low,Manager,Excellent,22,6,18880
2032,Research & Development,Very High,Laboratory Technician,Excellent,10,9,2339
2034,Research & Development,Low,Manufacturing Director,Outstanding,20,7,13570
2035,Sales,Very High,Sales Executive,Outstanding,8,7,6712
2036,Sales,Very High,Sales Executive,Outstanding,15,12,5406
2037,Sales,High,Sales Executive,Excellent,5,4,8938
2038,Research & Development,Very High,Research Scientist,Excellent,4,2,2439
2040,Human Resources,High,Human Resources,Excellent,9,0,8837
2041,Sales,Low,Sales Executive,Excellent,10,7,5343
2044,Sales,Medium,Sales Executive,Excellent,6,3,6728
2045,Sales,Medium,Sales Executive,Excellent,6,3,6652
2046,Sales,Very High,Sales Executive,Excellent,5,3,4850
2048,Research & Development,High,Research Scientist,Excellent,2,2,2809
2049,Research & Development,High,Healthcare Representative,Excellent,10,2,5689
2051,Research & Development,High,Research Scientist,Excellent,5,3,2001
2052,Research & Development,High,Research Scientist,Excellent,4,3,2977
2053,Research & Development,Very High,Laboratory Technician,Excellent,4,3,4025
2054,Research & Development,Very High,Research Scientist,Excellent,5,4,3785
2055,Sales,Very High,Sales Executive,Excellent,3,2,10854
2056,Sales,Medium,Sales Executive,Excellent,20,9,12031
2057,Research & Development,Medium,Manufacturing Director,Excellent,9,4,9936
2060,Sales,Very High,Sales Representative,Excellent,4,2,2966
2061,Research & Development,High,Laboratory Technician,Excellent,5,2,2571
2062,Research & Development,Very High,Healthcare Representative,Excellent,7,7,9991
2064,Research & Development,Medium,Manufacturing Director,Outstanding,6,2,6142
2065,Sales,Very High,Sales Executive,Excellent,9,6,5390
2068,Research & Development,Medium,Laboratory Technician,Excellent,4,3,4404
